recording_datetime,site_name,arid,offset_seconds,offset_end_seconds,tag,audio_link
20230727T150000+0700,Site-20,1416683,1195.0,1200.0,goshawk,https://api.ecosounds.org/audio_recordings/1416683/media.flac?start_offset=1195.0&end_offset=1200.0
20230729T070000+0700,Site-111,1445985,2000.0,2005.0,goshawk,https://api.ecosounds.org/audio_recordings/1445985/media.flac?start_offset=2000.0&end_offset=2005.0
20230729T070000+0700,Site-111,1445985,3365.0,3370.0,goshawk,https://api.ecosounds.org/audio_recordings/1445985/media.flac?start_offset=3365.0&end_offset=3370.0
20230730T150000+0700,Site-111,1453200,2645.0,2650.0,goshawk,https://api.ecosounds.org/audio_recordings/1453200/media.flac?start_offset=2645.0&end_offset=2650.0
20230730T150000+0700,Site-111,1453200,3085.0,3090.0,goshawk,https://api.ecosounds.org/audio_recordings/1453200/media.flac?start_offset=3085.0&end_offset=3090.0
20230801T150000+0700,Site-111,1452416,790.0,795.0,goshawk,https://api.ecosounds.org/audio_recordings/1452416/media.flac?start_offset=790.0&end_offset=795.0
20230808T060000+0700,Site-18,1660532,2465.0,2470.0,goshawk,https://api.ecosounds.org/audio_recordings/1660532/media.flac?start_offset=2465.0&end_offset=2470.0
20230811T110000+0700,Site-111,1580013,290.0,295.0,goshawk,https://api.ecosounds.org/audio_recordings/1580013/media.flac?start_offset=290.0&end_offset=295.0
20230812T090000+0700,Site-111,1580035,825.0,830.0,goshawk,https://api.ecosounds.org/audio_recordings/1580035/media.flac?start_offset=825.0&end_offset=830.0
20230812T090000+0700,Site-111,1580035,840.0,845.0,goshawk,https://api.ecosounds.org/audio_recordings/1580035/media.flac?start_offset=840.0&end_offset=845.0
20230812T090000+0700,Site-12,1517849,1085.0,1090.0,goshawk,https://api.ecosounds.org/audio_recordings/1517849/media.flac?start_offset=1085.0&end_offset=1090.0
20230817T090000+0700,Site-111,1580148,240.0,245.0,goshawk,https://api.ecosounds.org/audio_recordings/1580148/media.flac?start_offset=240.0&end_offset=245.0
20230817T090000+0700,Site-111,1580148,340.0,345.0,goshawk,https://api.ecosounds.org/audio_recordings/1580148/media.flac?start_offset=340.0&end_offset=345.0
20230817T090000+0700,Site-111,1580148,525.0,530.0,goshawk,https://api.ecosounds.org/audio_recordings/1580148/media.flac?start_offset=525.0&end_offset=530.0
20230818T110000+0700,Site-111,1580180,375.0,380.0,goshawk,https://api.ecosounds.org/audio_recordings/1580180/media.flac?start_offset=375.0&end_offset=380.0
20230818T110000+0700,Site-111,1580180,435.0,440.0,goshawk,https://api.ecosounds.org/audio_recordings/1580180/media.flac?start_offset=435.0&end_offset=440.0
20230818T110000+0700,Site-111,1580180,465.0,470.0,goshawk,https://api.ecosounds.org/audio_recordings/1580180/media.flac?start_offset=465.0&end_offset=470.0
20230818T170000+0700,Site-111,1580183,585.0,590.0,goshawk,https://api.ecosounds.org/audio_recordings/1580183/media.flac?start_offset=585.0&end_offset=590.0
20230819T060000+0700,Site-111,1580193,740.0,745.0,goshawk,https://api.ecosounds.org/audio_recordings/1580193/media.flac?start_offset=740.0&end_offset=745.0
20230820T060000+0700,Site-111,1582054,630.0,635.0,goshawk,https://api.ecosounds.org/audio_recordings/1582054/media.flac?start_offset=630.0&end_offset=635.0
20230820T060000+0700,Site-20,1526141,1035.0,1040.0,goshawk,https://api.ecosounds.org/audio_recordings/1526141/media.flac?start_offset=1035.0&end_offset=1040.0
20230822T130000+0700,Site-18,1659652,510.0,515.0,goshawk,https://api.ecosounds.org/audio_recordings/1659652/media.flac?start_offset=510.0&end_offset=515.0
20230830T090000+0700,Site-20,1526603,575.0,580.0,goshawk,https://api.ecosounds.org/audio_recordings/1526603/media.flac?start_offset=575.0&end_offset=580.0
20230904T060000+0700,Site-131,1578746,875.0,880.0,goshawk,https://api.ecosounds.org/audio_recordings/1578746/media.flac?start_offset=875.0&end_offset=880.0
20230918T150000+0700,Site-117,1558928,850.0,855.0,goshawk,https://api.ecosounds.org/audio_recordings/1558928/media.flac?start_offset=850.0&end_offset=855.0
20230921T130000+0700,Site-113,1520823,505.0,510.0,goshawk,https://api.ecosounds.org/audio_recordings/1520823/media.flac?start_offset=505.0&end_offset=510.0
20230923T080000+0700,Site-109,1509674,15.0,20.0,goshawk,https://api.ecosounds.org/audio_recordings/1509674/media.flac?start_offset=15.0&end_offset=20.0
20230923T100000+0700,Site-109,1509675,995.0,1000.0,goshawk,https://api.ecosounds.org/audio_recordings/1509675/media.flac?start_offset=995.0&end_offset=1000.0
20230930T060000+0700,Solar2-Golf,1679191,3150.0,3155.0,goshawk,https://api.ecosounds.org/audio_recordings/1679191/media.flac?start_offset=3150.0&end_offset=3155.0
20231009T060000+0700,Solar2-Golf,1677025,2480.0,2485.0,goshawk,https://api.ecosounds.org/audio_recordings/1677025/media.flac?start_offset=2480.0&end_offset=2485.0
20231009T090000+0700,Site-20,1523478,570.0,575.0,goshawk,https://api.ecosounds.org/audio_recordings/1523478/media.flac?start_offset=570.0&end_offset=575.0
20231009T090000+0700,Site-20,1523478,575.0,580.0,goshawk,https://api.ecosounds.org/audio_recordings/1523478/media.flac?start_offset=575.0&end_offset=580.0
20231009T090000+0700,Site-20,1523478,650.0,655.0,goshawk,https://api.ecosounds.org/audio_recordings/1523478/media.flac?start_offset=650.0&end_offset=655.0
20231009T090000+0700,Site-20,1523478,685.0,690.0,goshawk,https://api.ecosounds.org/audio_recordings/1523478/media.flac?start_offset=685.0&end_offset=690.0
20231009T090000+0700,Site-20,1523478,690.0,695.0,goshawk,https://api.ecosounds.org/audio_recordings/1523478/media.flac?start_offset=690.0&end_offset=695.0
20231009T090000+0700,Site-20,1523478,695.0,700.0,goshawk,https://api.ecosounds.org/audio_recordings/1523478/media.flac?start_offset=695.0&end_offset=700.0
20231021T100000+0700,Site-111,1581566,590.0,595.0,goshawk,https://api.ecosounds.org/audio_recordings/1581566/media.flac?start_offset=590.0&end_offset=595.0
20231030T090000+0700,Site-20,1522853,1030.0,1035.0,goshawk,https://api.ecosounds.org/audio_recordings/1522853/media.flac?start_offset=1030.0&end_offset=1035.0
